,country,math_average,tools
0,Albania,391.2465456,no tools
1,Argentina,354.7530434,no tools
2,Australia,373.7599942,no tools
3,Austria,434.2017273,no tools
4,Belgium,410.8950382,no tools
5,Brazil,354.5799691,no tools
6,Bulgaria,353.3267727,no tools
7,Canada,437.5329793,no tools
8,Chile,378.4886885,no tools
9,China-Shanghai,520.8937308,no tools
10,Chinese Taipei,487.1553245,no tools
11,Colombia,349.9922569,no tools
12,Connecticut (USA),461.8087,no tools
13,Costa Rica,368.2362524,no tools
14,Croatia,410.0693556,no tools
15,Czech Republic,470.0007192,no tools
16,Denmark,449.045775,no tools
17,Estonia,487.4766375,no tools
18,Finland,406.837125,no tools
19,Florida (USA),433.2528364,no tools
20,France,366.388855,no tools
21,Germany,330.3941,no tools
22,Greece,394.3184008,no tools
23,Hong Kong-China,481.2354,no tools
24,Hungary,420.5351081,no tools
25,Iceland,423.37592,no tools
26,Indonesia,357.3408213,no tools
27,Ireland,443.9426294,no tools
28,Italy,432.8507814,no tools
29,Japan,477.8063444,no tools
30,Jordan,348.0745597,no tools
31,Kazakhstan,401.606709,no tools
32,Korea,469.9821844,no tools
33,Latvia,430.9844818,no tools
34,Liechtenstein,387.0618,no tools
35,Lithuania,416.3928245,no tools
36,Luxembourg,430.9160241,no tools
37,Macao-China,493.1531381,no tools
38,Malaysia,387.1979343,no tools
39,Massachusetts (USA),435.6935111,no tools
40,Mexico,397.2343054,no tools
41,Montenegro,369.7807203,no tools
42,Netherlands,473.971825,no tools
43,New Zealand,410.7351918,no tools
44,Norway,303.1529556,no tools
45,Perm(Russian Federation),434.6906333,no tools
46,Peru,344.1014055,no tools
47,Poland,475.610883,no tools
48,Portugal,407.9453692,no tools
49,Qatar,319.8207409,no tools
50,Romania,405.269693,no tools
51,Russian Federation,432.0152019,no tools
52,Serbia,392.4978879,no tools
53,Singapore,455.2754429,no tools
54,Slovak Republic,385.3145705,no tools
55,Slovenia,428.6571,no tools
56,Spain,416.0544407,no tools
57,Sweden,338.4338857,no tools
58,Switzerland,439.911196,no tools
59,Thailand,398.1940714,no tools
60,Tunisia,364.0742795,no tools
61,Turkey,402.8572789,no tools
62,United Arab Emirates,353.2611235,no tools
63,United Kingdom,401.2880818,no tools
64,United States of America,420.1163414,no tools
65,Uruguay,374.463706,no tools
66,Vietnam,497.4833355,no tools
67,Albania,393.953715,own room
68,Argentina,405.2090944,own room
69,Australia,496.9039914,own room
70,Austria,511.8179203,own room
71,Belgium,525.4876166,own room
72,Brazil,389.5512112,own room
73,Bulgaria,444.308906,own room
74,Canada,512.0429569,own room
75,Chile,450.3252923,own room
76,China-Shanghai,615.9254828,own room
77,Chinese Taipei,558.1038494,own room
78,Colombia,396.3433185,own room
